id,count,name
4,11,AF
8,5,AL
12,31,DZ
61,2,AS
20,1,AD
24,69,AO
660,3,AI
28,2,AG
32,74,AR
51,76,AM
29,5,AW
36,791,AU
40,38,AT
31,47,AZ
44,28,BS
48,0,BH
50,35,BD
52,4,BB
112,2,BY
56,3,BE
84,90,BZ
204,17,BJ
60,8,BM
64,57,BT
68,298,BO
70,5,BA
72,3,BW
76,1337,BR
96,190,BN
100,13,BG
854,6,BF
108,159,BI
116,55,KH
120,911,CM
124,21,CA
132,51,CV
140,51,CF
148,8,TD
152,93,CL
156,720,CN
170,950,CO
174,16,KM
178,112,CG
180,445,CD
188,342,CR
384,158,CI
191,11,HR
192,196,CU
196,23,CY
203,31,CZ
208,2,DK
262,4,DJ
214,104,DO
212,20,DM
218,2036,EC
818,13,EG
222,82,SV
226,170,GQ
232,7,ER
233,2,EE
231,115,ET
238,5,FK
242,95,FJ
246,4,FI
250,65,FR
266,473,GA
268,70,GE
276,51,DE
288,127,GH
300,86,GR
304,1,GL
312,19,GP
316,5,GU
320,394,GT
831,0,GG
324,221,GN
328,83,GY
332,228,HT
340,196,HN
344,16,HK
348,45,HU
352,0,IS
136,23,KY
184,13,CK
796,10,TC
850,22,VI
356,539,IN
360,1047,ID
364,18,IR
368,4,IQ
372,8,IE
376,40,IL
380,122,IT
388,215,JM
392,75,JP
400,8,JO
398,21,KZ
404,402,KE
410,38,KR
414,0,KW
417,23,KG
418,88,LA
428,1,LV
422,101,LB
426,5,LS
430,137,LR
434,8,LY
438,1,LI
440,2,LT
442,3,LU
446,0,MO
807,6,MK
450,2897,MG
454,61,MW
458,1331,MY
462,0,MV
466,29,ML
470,4,MT
474,19,MQ
480,103,MU
478,1,MR
175,14,YT
484,1478,MX
498,2,MD
496,1,MN
499,6,ME
504,58,MA
508,300,MZ
104,113,MM
516,49,NA
520,0,NR
524,26,NP
528,3,NL
540,719,NC
554,21,NZ
558,121,NI
562,4,NE
566,258,NG
578,20,NO
512,9,OM
586,22,PK
275,11,PS
591,262,PA
598,661,PG
600,22,PY
604,568,PE
608,930,PH
616,16,PL
258,56,PF
620,145,PT
630,77,PR
634,0,QA
638,23,RE
642,14,RO
643,68,RU
646,134,RW
662,16,LC
666,0,PM
882,11,WS
678,72,ST
682,5,SA
686,23,SN
688,9,RS
690,61,SC
694,142,SL
702,69,SG
703,32,SK
705,13,SI
90,56,SB
706,68,SO
710,428,ZA
728,21,SS
724,290,ES
144,302,LK
729,17,SD
740,44,SR
748,14,SZ
752,12,SE
756,20,CH
760,45,SY
158,88,TW
762,20,TJ
834,1031,TZ
764,247,TH
626,7,TL
768,15,TG
780,58,TT
788,12,TN
792,136,TR
795,6,TM
800,148,UG
804,29,UA
784,0,AE
826,53,GB
840,695,US
858,22,UY
860,27,UZ
548,15,VU
862,464,VE
704,335,VN
732,1,EH
887,165,YE
894,59,ZM
716,81,ZW
383,,XK
990,,AP
999,,ZZ
